Demanda;Temperatura;Wday
1.682.798;20.2;0
1.830.822;21.9;1
1.845.135;25.1;1
1.748.963;26.0;0
1.885.909;23.0;1
1.889.169;22.2;1
1.738.142;20.3;0
1.695.152;26.1;0
1.957.288;19.6;1
1.999.029;20.0;1
2.053.375;27.4;1
2.280.782;32.4;1
2.585.984;34.0;1
2.017.970;22.4;0
1.876.298;22.5;0
2.546.636;30.0;1
3.222.323;42.4;1
3.439.934;41.5;1
3.476.376;43.2;1
3.329.455;43.1;1
2.197.517;23.7;0
1.869.816;22.3;0
2.284.876;24.0;1
2.223.650;23.1;1
2.204.669;23.3;1
2.405.806;29.6;1
2.246.652;22.1;1
1.811.498;20.3;0
1.822.231;27.0;0
2.302.226;34.5;0
3.093.744;41.4;1
2.432.239;24.5;1
2.583.896;29.2;1
2.593.053;26.8;1
2.413.185;29.2;0
2.645.050;38.6;0
2.649.556;33.9;1
2.216.807;25.7;1
2.371.498;30.5;1
2.764.134;35.1;1
2.833.155;35.6;1
2.725.084;40.0;0
2.436.298;39.5;0
2.230.845;24.7;1
2.387.871;26.2;1
2.522.366;26.9;1
2.509.030;26.6;1
2.424.558;26.6;1
2.142.726;28.7;0
1.752.935;23.0;0
2.164.104;25.3;1
2.326.376;30.2;1
2.223.622;25.4;1
2.102.031;20.3;1
2.116.370;20.4;1
1.867.995;19.6;0
1.782.322;22.9;0
2.216.854;24.3;1
2.375.595;32.7;1
2.205.093;21.8;1
2.167.880;21.5;1
2.148.875;23.5;1
1.935.388;23.1;0
1.833.550;22.3;0
2.283.825;25.0;1
2.553.741;33.3;1
2.339.622;25.6;1
2.164.703;20.8;1
2.159.607;22.5;1
1.945.699;27.8;0
2.007.804;32.7;0
2.139.160;32.1;0
2.405.818;31.1;1
2.203.766;21.8;1
2.191.226;22.7;1
2.239.310;26.2;1
1.919.780;29.1;0
1.729.602;20.3;0
2.126.693;24.7;1
2.167.992;24.1;1
2.159.562;22.2;1
2.268.287;30.7;1
2.219.756;22.9;1
1.862.491;19.4;0
1.792.746;18.7;0
2.135.667;18.8;1
2.146.133;24.4;1
2.174.129;26.9;1
2.217.905;25.3;1
2.148.814;21.5;1
1.852.121;23.6;0
1.817.951;25.9;0
2.306.637;30.1;1
2.532.901;32.9;1
2.355.289;26.0;1
2.227.004;18.2;1
2.189.320;19.7;1
