 Fecha     Demand Temperature Workday
 1.000000 168.2798        20.2       0
 1.142857 183.0822        21.9       1
 1.285714 184.5135        25.1       1
 1.428571 174.8963        26.0       0
 1.571429 188.5909        23.0       1
 1.714286 188.9169        22.2       1
 1.857143 173.8142        20.3       0
 2.000000 169.5152        26.1       0
 2.142857 195.7288        19.6       1
 2.285714 199.9029        20.0       1
 2.428571 205.3375        27.4       1
 2.571429 228.0782        32.4       1
 2.714286 258.5984        34.0       1
 2.857143 201.7970        22.4       0
 3.000000 187.6298        22.5       0
 3.142857 254.6636        30.0       1
 3.285714 322.2323        42.4       1
 3.428571 343.9934        41.5       1
 3.571429 347.6376        43.2       1
 3.714286 332.9455        43.1       1
 3.857143 219.7517        23.7       0
 4.000000 186.9816        22.3       0
 4.142857 228.4876        24.0       1
 4.285714 222.3650        23.1       1
 4.428571 220.4669        23.3       1
 4.571429 240.5806        29.6       1
 4.714286 224.6652        22.1       1
 4.857143 181.1498        20.3       0
 5.000000 182.2231        27.0       0
 5.142857 230.2226        34.5       0
 5.285714 309.3744        41.4       1
 5.428571 243.2239        24.5       1
 5.571429 258.3896        29.2       1
 5.714286 259.3053        26.8       1
 5.857143 241.3185        29.2       0
 6.000000 264.5050        38.6       0
 6.142857 264.9556        33.9       1
 6.285714 221.6807        25.7       1
 6.428571 237.1498        30.5       1
 6.571429 276.4134        35.1       1
 6.714286 283.3155        35.6       1
 6.857143 272.5084        40.0       0
 7.000000 243.6298        39.5       0
 7.142857 223.0845        24.7       1
 7.285714 238.7871        26.2       1
 7.428571 252.2366        26.9       1
 7.571429 250.9030        26.6       1
 7.714286 242.4558        26.6       1
 7.857143 214.2726        28.7       0
 8.000000 175.2935        23.0       0
 8.142857 216.4104        25.3       1
 8.285714 232.6376        30.2       1
 8.428571 222.3622        25.4       1
 8.571429 210.2031        20.3       1
 8.714286 211.6370        20.4       1
 8.857143 186.7995        19.6       0
 9.000000 178.2322        22.9       0
 9.142857 221.6854        24.3       1
 9.285714 237.5595        32.7       1
 9.428571 220.5093        21.8       1
 9.571429 216.7880        21.5       1
 9.714286 214.8875        23.5       1
 9.857143 193.5388        23.1       0
10.000000 183.3550        22.3       0
10.142857 228.3825        25.0       1
10.285714 255.3741        33.3       1
10.428571 233.9622        25.6       1
10.571429 216.4703        20.8       1
10.714286 215.9607        22.5       1
10.857143 194.5699        27.8       0
11.000000 200.7804        32.7       0
11.142857 213.9160        32.1       0
11.285714 240.5818        31.1       1
11.428571 220.3766        21.8       1
11.571429 219.1226        22.7       1
11.714286 223.9310        26.2       1
11.857143 191.9780        29.1       0
12.000000 172.9602        20.3       0
12.142857 212.6693        24.7       1
12.285714 216.7992        24.1       1
12.428571 215.9562        22.2       1
12.571429 226.8287        30.7       1
12.714286 221.9756        22.9       1
12.857143 186.2491        19.4       0
13.000000 179.2746        18.7       0
13.142857 213.5667        18.8       1
13.285714 214.6133        24.4       1
13.428571 217.4129        26.9       1
13.571429 221.7905        25.3       1
13.714286 214.8814        21.5       1
13.857143 185.2121        23.6       0
14.000000 181.7951        25.9       0
14.142857 230.6637        30.1       1
14.285714 253.2901        32.9       1
14.428571 235.5289        26.0       1
14.571429 222.7004        18.2       1
14.714286 218.9320        19.7       1
14.857143 192.1518        24.1       0
15.000000 182.5951        24.3       0
15.142857 218.4745        24.5       1
15.285714 226.2018        22.0       1
15.428571 225.5993        17.8       1
15.571429 223.8808        18.9       1
15.714286 220.3987        18.9       1
15.857143 189.7302        22.4       0
16.000000 180.7974        21.5       0
16.142857 212.9014        20.7       1
16.285714 216.1034        21.1       1
16.428571 218.3603        21.6       1
16.571429 215.1137        24.3       1
16.714286 177.7474        18.8       0
16.857143 183.7940        17.3       0
17.000000 178.9498        18.3       0
17.142857 181.3320        18.1       0
17.285714 219.8456        17.6       1
17.428571 218.9037        19.2       1
17.571429 217.9708        18.3       1
17.714286 189.6816        20.5       0
17.857143 189.3522        19.2       0
18.000000 186.1761        17.2       0
18.142857 222.7253        21.3       1
18.285714 226.8940        22.3       1
18.428571 227.8383        17.6       1
18.571429 234.1514        15.6       1
18.714286 234.8755        13.9       1
18.857143 205.5938        17.0       0
19.000000 203.6670        13.7       0
19.142857 237.8857        16.4       1
19.285714 240.6153        16.0       1
19.428571 240.3634        16.2       1
19.571429 241.3502        18.4       1
19.714286 236.7497        18.3       1
19.857143 206.3455        16.3       0
20.000000 192.7160        19.7       0
20.142857 229.3544        19.9       1
20.285714 230.0164        20.1       1
20.428571 224.4637        20.2       1
20.571429 216.9592        22.4       1
20.714286 212.6305        22.8       1
20.857143 188.9991        20.0       0
21.000000 181.5075        21.4       0
21.142857 217.0623        22.8       1
21.285714 224.3771        21.6       1
21.428571 221.9410        23.1       1
21.571429 222.4899        20.9       1
21.714286 221.5659        20.3       1
21.857143 195.6669        17.1       0
22.000000 190.3111        20.2       0
22.142857 226.0510        20.8       1
22.285714 226.9175        21.7       1
22.428571 230.2927        18.0       1
22.571429 234.6604        15.8       1
22.714286 231.8486        17.7       1
22.857143 201.0383        18.4       0
23.000000 199.7129        14.9       0
23.142857 232.5876        16.4       1
23.285714 235.0114        16.4       1
23.428571 230.9970        18.1       1
23.571429 232.0875        16.7       1
23.714286 234.6715        15.4       1
23.857143 202.4323        16.8       0
24.000000 196.7197        14.9       0
24.142857 206.5046        15.4       0
24.285714 235.7782        18.3       1
24.428571 241.0994        16.2       1
24.571429 243.6167        16.2       1
24.714286 237.2126        16.5       1
24.857143 212.1366        15.2       0
25.000000 203.3582        16.0       0
25.142857 241.3206        17.0       1
25.285714 244.7568        15.8       1
25.428571 244.5883        14.2       1
25.571429 252.8974        12.2       1
25.714286 239.6948        15.1       1
25.857143 211.0494        15.0       0
26.000000 205.6888        15.4       0
26.142857 245.3576        14.4       1
26.285714 261.7745        14.3       1
26.428571 248.2476        15.7       1
26.571429 243.3896        15.6       1
26.714286 241.5915        14.5       1
26.857143 218.8741        12.7       0
27.000000 220.2953        11.0       0
27.142857 255.0056        13.1       1
27.285714 254.8101        13.1       1
27.428571 245.0865        16.6       1
27.571429 247.8669        12.4       1
27.714286 249.0520        12.4       1
27.857143 218.4067        15.2       0
28.000000 212.9148        13.9       0
28.142857 241.2600        15.7       1
28.285714 242.9725        14.3       1
28.428571 257.5991        13.3       1
28.571429 257.9806        14.7       1
28.714286 247.6547        14.4       1
28.857143 227.0290        11.1       0
29.000000 220.9397        14.9       0
29.142857 258.8287        13.1       1
29.285714 264.1827        12.9       1
29.428571 253.5232        14.6       1
29.571429 259.8050        12.1       1
29.714286 256.2355        13.8       1
29.857143 223.4825        13.2       0
30.000000 215.7748        13.2       0
30.142857 258.8278        12.9       1
30.285714 268.9846        12.2       1
30.428571 267.2355        13.4       1
30.571429 269.3544        14.9       1
30.714286 253.2748        15.9       1
30.857143 223.1568        14.9       0
31.000000 211.2160        16.8       0
31.142857 242.0725        16.7       1
31.285714 246.4046        16.5       1
31.428571 237.8841        18.9       1
31.571429 239.6187        19.3       1
